listing_id,date_scraped,date_posted,title,estate,district,floor,size_sqft,rooms,price,unit_price,sold_price,views,source,url
f2c1e2ccaeda,2026-06-13,18 小時前,"*真盤約睇*PARK 罕有池景716尺3房套廁 只此一間,手快手慢無",峻巒,元朗,中層,716,3,"HKD 23,000",@$32.1/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3888286
e19aaac0e720,2026-06-13,24 小時前,元朗南!!1年新樓靚裝!!地下連前後入1車大花園,村屋,元朗,地下,700,3,"HKD 13,500",@$19.3/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3887329
7258c3abc7a5,2026-06-13,,《今期流行》《電車至愛》元朗700尺地下入車花園,村屋,元朗,地下,700,3,"HKD 13,500",@$19.3/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3887199
ba48c3b7c961,2026-06-13,,隔離就係錦上路站既800呎村屋 包車位 可養小狗小貓,村屋,元朗,地下,800,3,"HKD 15,200",,,,28hse.com,https://www.28hse.com/rent/apartment/property-3887188
d256e50ccfdb,2026-06-20,,峻巒 2A期 Park Yoho Genova,峻巒 2A期 Park Yoho Genova,錦田,,,3,"HKD 37,500",@$37/呎,,,hk.centanet.com,https://hk.centanet.com/findproperty/detail/%E5%B3%BB%E5%B7%92-2A%E6%9C%9F-Park-Yoho-Genova_CVY900
a1f606afe943,2026-06-20,,樓齡新近路邊大棠3房$10500,村屋,元朗,中層,700,3,"HKD 10,500",,,,28hse.com,https://www.28hse.com/rent/apartment/property-3895773
1705cba92912,2026-06-20,,車到門口廈村2/F2房連有蓋天台$10500,村屋,元朗,高層,700,2,"HKD 10,500",,,,28hse.com,https://www.28hse.com/rent/apartment/property-3894318
a6c3a38e3c38,2026-06-27,,THE YOHO HUB,THE YOHO HUB,元朗,,,2,"HKD 21,000",@$44/呎,,,hk.centanet.com,https://hk.centanet.com/findproperty/detail/THE-YOHO-HUB_GAO347
0fee918722be,2026-06-27,,元朗【曉峯】路邊超靚屋苑!!連有蓋車位~地下連花園,村屋,元朗,地下,700,3,"HKD 15,000",@$21.4/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3905119
00b0baa1973e,2026-06-27,,加州花園附近全新村屋 可貓貓,村屋,元朗,地下,700,3,"HKD 14,500",@$20.7/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3900584
3f05cd390a2b,2026-07-04,21 小時前,【獨家可寵700呎】【3房】另有車位租,村屋,元朗,地下,700,3,"HKD 8,950",@$12.8/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3915717
82a3277875cc,2026-07-04,,♡3房1套 ♡ 有工人房 ♡ 少量傢俬 ♡ 歡迎預約參觀,Grand YOHO,元朗,低層,798,3,"HKD 29,800",@$37.3/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3910400
3ebaeb58da3b,2026-07-11,10 小時前,電車男系列1000呎錦上路村屋 車泊屋傍叉電車 可養小貓小狗,村屋,元朗,地下,700,3,"HKD 13,800",@$19.7/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3927364
14ead17f4ed5,2026-07-11,,鄰近大欖轉車站!!樓齡新企裝連傢私~內複樓梯!!3樓連有頂天台,村屋,元朗,頂層,700,3,"HKD 16,000",@$22.9/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3923723
431a032c02f9,2026-07-11,,元朗南【田寮村】全新樓新裝修!!連樓下車位!!可充電~分層放租,村屋,元朗,地下,700,3,"HKD 13,000",@$18.6/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3923667
d9ca020a4fb0,2026-07-11,,拎包入住八鄉近大欖3房連內覆天台$16000,村屋,元朗,,700,3,"HKD 16,000",@$22.9/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3923325
5960a34f192c,2026-07-11,,《包車位叉電車》錦上路700尺地下連獨立花園,村屋,元朗,地下,700,3,"HKD 14,800",@$21.1/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3922749
cdfe4c50f9bc,2026-07-11,,《步行洪福邨》《全新》石埗700尺分層租,村屋,元朗,,700,3,"HKD 12,500",@$17.9/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3922744
47faf7cd4192,2026-07-11,,《路邊屋苑》白沙村700尺2/F連天台,村屋,元朗,,700,3,"HKD 15,000",@$21.4/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3922739
c85cddccea4a,2026-07-11,,【包你三個字車位】全新入車花園｜3房2廁、不寵｜會起圍牆！,村屋,元朗,,700,3,"HKD 13,000",@$18.6/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3921208
